"UMAP_1","UMAP_2","cells","Idents"
4.04012207750864,-2.40800068466424,"s1_bcECKQ","Tumor"
3.94032006029673,-3.85302755920647,"s1_bcDROH","Tumor"
3.92357115511484,-3.77584145157098,"s1_bcCFVZ","Tumor"
-15.5081781887572,-4.39070293991326,"s1_bcASPQ","Immune"
4.64153818850107,-0.0371373662209388,"s1_bcHEJJ","Tumor"
3.88684086565561,0.588644005968583,"s1_bcHUKQ","Tumor"
-14.8065456890624,-2.6270637282586,"s1_bcGPME","Immune"
2.03714184526987,-3.45445344536065,"s1_bcDVEB","Tumor"
0.632780239625646,-4.96278069107293,"s1_bcCRAZ","Tumor"
2.28522639040537,-3.67469427673577,"s1_bcHFKB","Tumor"
1.16699938540049,17.6343558064246,"s1_bcHTJX","Fibroblast"
5.60917763475962,-5.28230879394768,"s1_bcGRSO","Tumor"
0.612625882669164,17.4489729634071,"s1_bcEXSY","Fibroblast"
-18.4428476833861,0.493354961886418,"s1_bcGNUD","Immune"
-18.2825998806518,0.221644081785691,"s1_bcENWF","Immune"
2.6085343814332,-1.12964365570306,"s1_bcEYHA","Tumor"
1.3120952105958,-1.70994041054009,"s1_bcHMMG","Tumor"
2.65104822878428,-3.4420199164605,"s1_bcHZVH","Tumor"
3.51837496523447,-3.94618866531609,"s1_bcHRZE","Tumor"
-0.295708014921473,2.41291167648078,"s1_bcCXPE","Tumor"
-0.147947623686121,-2.81724784462212,"s1_bcACTT","Tumor"
2.13703517679758,-2.25749275772332,"s1_bcEFYM","Tumor"
0.53400318388529,0.262392417206776,"s1_bcHAOI","Tumor"
4.81821684603281,2.36896171481849,"s1_bcHBJO","Tumor"
2.3244140601594,-1.92530415146111,"s1_bcCRFJ","Tumor"
4.74414448504038,2.49419000060798,"s1_bcHSYI","Tumor"
-1.93151958222799,-0.0926155814385292,"s1_bcEVGG","Tumor"
5.35125546221323,0.215203039958489,"s1_bcDVVP","Tumor"
1.92641644243784,0.564763568952096,"s1_bcEQFV","Tumor"
3.92907480959482,-2.77782795517205,"s1_bcFIDJ","Tumor"
3.23934035067148,-0.862100459024894,"s1_bcFMQM","Tumor"
4.19950251345225,0.440510459854615,"s1_bcAPEU","Tumor"
1.10409645800181,0.358862756430519,"s1_bcDTSH","Tumor"
3.54105381731577,3.74790694625617,"s1_bcAJYO","Tumor"
1.2829363799531,-0.00580320446251598,"s1_bcEILW","Tumor"
4.44068865542002,2.73760869415046,"s1_bcGSJD","Tumor"
3.3660879588563,3.79844977767707,"s1_bcHZVJ","Tumor"
3.0779107070405,-1.91950748054742,"s1_bcHHOW","Tumor"
3.20760111574717,4.04185631187202,"s1_bcIEEH","Tumor"
-0.136733427004145,-3.96550963012933,"s1_bcHVLC","Tumor"
6.82447485689707,1.83854343803169,"s1_bcDEQW","Tumor"
4.98387007479258,-5.36615107147454,"s1_bcGSYT","Tumor"
0.626232788606359,17.8736269703651,"s1_bcEJZV","Fibroblast"
2.16668824915476,-2.23717138855218,"s1_bcAVMZ","Tumor"
1.74456076387949,0.181315698339951,"s1_bcHMEV","Tumor"
3.06112150911875,-1.43591103641747,"s1_bcFACN","Tumor"
2.755358741327,-3.41713211624383,"s1_bcEIKZ","Tumor"
0.543756887956335,17.7925245991492,"s1_bcCMPP","Fibroblast"
2.56557802919932,-2.71326634971856,"s1_bcCIQJ","Tumor"
2.70469479326792,-0.0659037002777931,"s1_bcFQNP","Tumor"
4.75528626207895,2.26553060920478,"s1_bcHXJX","Tumor"
0.132149145646764,-5.21084663955926,"s1_bcDXQN","Tumor"
1.02779738668986,-4.25208256332635,"s1_bcAIOR","Tumor"
3.23643975023813,1.37693657787086,"s1_bcHZDA","Tumor"
-15.655180408911,-4.37030098526238,"s1_bcDVEI","Immune"
4.90284542803354,-5.18572685806512,"s1_bcCBFW","Tumor"
-1.03691039170437,0.670727782561791,"s1_bcHBMK","Tumor"
1.54051356081553,1.33559306771995,"s1_bcHHND","Tumor"
-0.371760084585474,2.02757968814613,"s1_bcDHKH","Tumor"
-1.13784922595434,15.5118439427161,"s1_bcHQIX","Fibroblast"
2.61569409136362,-2.4499921569085,"s1_bcEOPD","Tumor"
3.11022476915903,-0.385846353456962,"s1_bcHGLU","Tumor"
1.51983337168284,0.708315335824502,"s1_bcHQVA","Tumor"
2.96407370333262,-3.04265019981621,"s1_bcHECJ","Tumor"
